Product_Id, NC 
100022,0.01
100023,0.01
100024,25.7
100025,15.14
100158,939.53
100159,1135.47
100160,856.93027
100161,1266.39
100162,1031.216076
100163,1022.23
100164,60
100165,43.12
100166,35.54
100168,649.94
100169,758.66
100170,668.3
100171,674.88
100173,709.46
100174,716.04
100210,68.07
100211,68.07
100212,68.07
100213,0.01
100214,0.01
100215,68.07
100216,36.4
100217,71.06
100218,72.97
100220,71.06
100221,68.07
100222,36.4
100223,68.07
100224,68.07
100225,68.84
100226,4.1
100229,0.01
100230,4.45
100231,164.82
100232,182.21
100233,51.34
100234,6.6
100303,46.32
100304,46.54
100327,151.43
100328,151.43
100329,151.43
100330,151.43
100331,57.97248
100336,9.07
100337,9.5
100342,33.97
100358,602.60311
100359,686.512368
100370,125.13
100371,107.98
100372,62.77
100374,103.34
100376,136.61
100378,136.61
100379,107.98
100380,107.98
100381,107.98
100382,48.12
100383,36.39
100420,95.587025
100421,64.566701
100422,89.18
100423,78.54
100438,1151.714244
100452,1200.337376
100652,138.258603
100653,4.78
100654,2.26
100658,112.18089
100660,129.61
100684,152.896121
100740,67.528
100758,0.01
100761,11.97875
100763,5.67
100876,15.73
100893,10.500604
100899,6.54
100900,11.6
100914,24.38
100948,240.83
101042,4.4136
101051,55.48
101053,63.43
101069,181.38
101072,189.01
101078,533.68
101080,21.72
101083,27.17
101085,214.96
101120,3.48
101200,2.75
101221,13.94
101226,15.68
101229,15.72
101287,63.24
101408,204.3
101443,21.41
101543,23.44
101580,938.73
101581,1050.05
101582,1034.780409
101584,951.06
101585,837.16
101626,70.2
101666,12.34
101670,210.70852
101671,0.008648
101672,320.953224
101673,290.771704
101675,332.913408
101744,47.46
101781,0.4563
101879,4.98
101886,0.01
101888,772.37472
101889,866.04345
101890,823.76425
101891,889.598289
101892,1030.33431
101894,959.32304
101945,891.04
101969,3.04365
101970,18.15
101975,151.07847
101981,301.12
102026,134
102058,3.1525
102060,3.6375
102103,977.196776
102104,1094.848476
102109,1207.71926
102110,1155.84024
102115,1279.021336
102116,1116.853788
102121,191.678417
102123,174.316623
102179,147.78454
102218,0.4656
102231,0.008441
102232,33.088968
102286,279.8463
102302,13.7
102303,36.84
102304,50.89
102305,16.39
102306,14.93
102307,62.93
102358,6.44
102359,6.18
102360,8.04
102361,6.62
102362,8.56
102363,7.54
102364,10.64
102365,9.53
102366,9.6
102367,8.27
102370,10.56
102371,9.53
102372,18.09
102373,13.94
102374,54.76
102375,110.7
102380,100.82
102381,110.7
102382,91.66
102383,110.7
102388,64.32
102389,0.01
102390,18.09
102391,17.05
102392,64.32
102394,110.7
102395,54.76
102397,0.01
102398,110.7
102399,54.76
102400,110.7
102401,100.82
102402,110.7
102403,100.82
102404,110.7
102405,100.82
102406,110.7
102407,54.76
102409,110.7
102410,100.82
102411,110.7
102412,100.82
102413,37.27
102414,73
102415,100.82
102416,100.82
102417,100.82
102418,110.7
102419,100.82
102420,64.32
102421,68.1
102422,100.82
102423,64.32
102424,54.76
102426,100.82
102427,110.7
102428,100.82
102437,4.0449
102448,21.42
102450,10.1549
102462,170.02588
102601,95.07
102714,82.367278
102716,0.008441
102717,0.01
102718,188.830495
102720,3.418605
102826,2.78
102857,42
102860,154.35
102864,252
102888,2.425
102941,843.76
103029,551.869912
103030,623.552632
103059,12.21025
103060,24.68442
103062,46.21264
103063,7.0135
103064,15.40435
103067,10.09775
103068,23.1361
103079,12.21025
103080,33.63
103081,62.96
103082,14.45
103083,33.63
103084,62.96
103085,10.1659
103086,27.11605
103088,12.21025
103090,28.41735
103092,62.96
103093,12.21025
103094,28.41735
103095,62.96
103096,14.45
103105,13.05915
103108,14.45
103111,11.70325
103143,222.12
103151,42.14
103170,15.18
103230,73.8
103237,151.72
103279,381.69
103280,295.95
103281,295.95
103282,258.95
103283,200.46
103284,188.31
103285,229.35
103286,655.98
103287,655.98
103288,286.59
103289,355.98
103290,254.35
103291,237.47
103292,496.16198
103293,219.19
103294,442.45
103295,273.35
103296,273.35
103297,242.98
103298,242.98
103299,230.83
103300,230.83
103301,266.35
103302,526.13
103303,315.22
103304,395.74
103305,282.98
103306,266.11
103307,346.61
103308,247.82
103309,0.01
103310,88.46
103311,88.46
103312,159.07
103314,12.87
103315,71.5
103317,35.11
103319,29.37
103320,29.37
103321,0.01
103322,21.47
103358,4.662
103359,6.32256
103360,10.18
103364,5.25
103454,16.86
103460,8.9
103534,69.01
103681,9.95
103682,9.1675
103735,107.18
103736,87.95
